freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,CZ,2020-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,CZ,2021-01-01,92
A,VI_PPS_EU27_2020_HAB,GDP,CZ,2022-01-01,90
A,VI_PPS_EU27_2020_HAB,GDP,CZ,2023-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,CZ,2024-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,CZ,2025-01-01,92
A,VI_PPS_EU27_2020_HAB,GDP,DE,2014-01-01,128
A,VI_PPS_EU27_2020_HAB,GDP,DE,2015-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,DE,2016-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,DE,2017-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,DE,2018-01-01,125
A,VI_PPS_EU27_2020_HAB,GDP,DE,2019-01-01,122
A,VI_PPS_EU27_2020_HAB,GDP,DE,2020-01-01,123
A,VI_PPS_EU27_2020_HAB,GDP,DE,2021-01-01,120
A,VI_PPS_EU27_2020_HAB,GDP,DE,2022-01-01,120
A,VI_PPS_EU27_2020_HAB,GDP,DE,2023-01-01,118
A,VI_PPS_EU27_2020_HAB,GDP,DE,2024-01-01,116
A,VI_PPS_EU27_2020_HAB,GDP,DE,2025-01-01,115
A,VI_PPS_EU27_2020_HAB,GDP,DK,2014-01-01,128
A,VI_PPS_EU27_2020_HAB,GDP,DK,2015-01-01,127
A,VI_PPS_EU27_2020_HAB,GDP,DK,2016-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,DK,2017-01-01,128
A,VI_PPS_EU27_2020_HAB,GDP,DK,2018-01-01,127
A,VI_PPS_EU27_2020_HAB,GDP,DK,2019-01-01,125
A,VI_PPS_EU27_2020_HAB,GDP,DK,2020-01-01,132
A,VI_PPS_EU27_2020_HAB,GDP,DK,2021-01-01,133
A,VI_PPS_EU27_2020_HAB,GDP,DK,2022-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,DK,2023-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,DK,2024-01-01,127
A,VI_PPS_EU27_2020_HAB,GDP,DK,2025-01-01,127
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2014-01-01,108
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2015-01-01,108
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2016-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2017-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2018-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2019-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2020-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2021-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2022-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,EA19,2023-01-01,105
